"","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","q1","q2","q3","q4","q7","q8","q6","q5","q9","q3_0","q26","q11","q27","q28","q28_0","q49_1","q49_2","q49_3","q41","q15","q16","q17","q17_text","q39","q31","q32","q33","q38","q36_1","q42","q37","q8_0","q9_0","q10","q11_0","q11_text","q12","q12_text","q13","q18","q19","do_br_fl_2","do_bl_50f_50m","do_bl_governmentarchitecture","time","filter__","rep","chief","second","third","direct","mmff","mfmf","mffm","fmmf","fmfm","ffmm","easy","mid","hard","plastics","light","heavy","gender","race","age","income"
"28","R_0IIMamTVlp6VoY5","Default Response Set","Anonymous","","","","0",41658.890625,41658.90234375,1,1,"",1,1,0,1,0,0,0,0,1,NA,NA,NA,NA,100,100,100,1,"united states","texas","a small city or town","",1,1,NA,NA,NA,49,1,"$1,000 to $4,000",1,"55-59","female","white","","some college, no degree","","$100,000 to under $150,000","moderate","","50F/50M","Q8|Q26","Q39|Q31|Q36|Q42|Q37",847,1,"Q8|Q26",0,1,0,1,0,1,0,0,0,0,100,100,100,1,1,1,"female","white","55-59","$100,000 to under $150,000"
"31","R_erKYgmCHSb6nhQ1","Default Response Set","Anonymous","","","","0",41658.89453125,41658.89453125,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,72,72,71,1,"ireland",NA,"a suburban near a large city","",1,1,NA,NA,NA,72,1,"less than $1000",1,"35-44","male","white","","high school graduate (includes equivalency)","","$50,000 to under $75,000","moderate","","50F/50M","Q9|Q26","Q39|Q31|Q36|Q42|Q37",217,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,72,72,71,0,0,0,"male","white","35-44","$50,000 to under $75,000"
"34","R_3xCg7ahL2ccDTWR","Default Response Set","Anonymous","","","","0",41658.89453125,41658.91015625,1,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,100,100,100,1,"united states","tennessee","a rural area","",1,NA,NA,1,NA,20,1,"less than $1000",1,"55-59","female","other","Native American","some college, no degree","","less than $10,000","liberal","I think everyone should","50F/50M","Q5|Q26","Q39|Q33|Q36|Q42|Q37",1451,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,100,100,100,1,1,1,"female","other","55-59","less than $10,000"
"39","R_bpE6s4Un63Rz0yh","Default Response Set","Anonymous","","","","0",41658.89453125,41658.89453125,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,100,90,90,1,"united states","illinois","a suburban near a large city","",1,NA,NA,1,NA,50,1,"$5,000 to $9,999",1,"60-64","male","white","","bachelors degree","","$100,000 to under $150,000","liberal","interesting, but what ab","50F/50M","Q6|Q26","Q39|Q33|Q36|Q42|Q37",223,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,100,90,90,1,0,0,"male","white","60-64","$100,000 to under $150,000"
"41","R_bJCGqkFYtVWxwwJ","Default Response Set","Anonymous","","","","0",41658.89453125,41658.89453125,1,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,100,100,95,1,"united states","illinois","a suburban near a large city","",1,1,NA,NA,NA,8,1,"$1,000 to $4,000",1,"35-44","female","white","","some college, no degree","","$25,000 to under $50,000","liberal","","50F/50M","Q5|Q26","Q39|Q31|Q36|Q42|Q37",160,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,100,100,95,1,1,0,"female","white","35-44","$25,000 to under $50,000"
"44","R_af4YqTbVIjDa5QV","Default Response Set","Anonymous","","","","0",41658.89453125,41658.89453125,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,100,100,100,1,"united states","new york","a large city","",1,NA,1,NA,NA,64,1,"$30,000 to $39,999",1,"35-44","male","white","","graduate or professional degree","","$75,000 to under $100,000",NA,"","50F/50M","Q6|Q26","Q39|Q32|Q36|Q42|Q37",122,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,100,100,100,1,1,1,"male","white","35-44","$75,000 to under $100,000"
"45","R_5ua5j32KAc5gzu5","Default Response Set","Anonymous","","","","0",41658.89453125,41658.8984375,1,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,100,100,100,1,"united states","georgia","a suburban near a large city","",1,NA,NA,NA,1,30,1,"$1,000 to $4,000",1,"45-54","female","black or african american","","bachelors degree","","$50,000 to under $75,000","liberal","","50F/50M","Q5|Q26","Q39|Q38|Q36|Q42|Q37",347,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,100,100,100,1,1,1,"female","black or african american","45-54","$50,000 to under $75,000"
"46","R_79gUYP8PrUwBZ4x","Default Response Set","Anonymous","","","","0",41658.89453125,41658.89453125,0,1,"",1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","50F/50M","Q7|Q26","",133,1,"Q7|Q26",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","R_8CdsndD3YwZkQrr","Default Response Set","Anonymous","","","","0",41658.89453125,41658.8984375,1,1,"",1,1,0,1,0,0,0,0,1,NA,NA,NA,NA,100,0,0,1,"united states","california","a suburban near a large city","",1,1,NA,NA,NA,0,1,"less than $1000",1,"25-34","female","white","","bachelors degree","","$25,000 to under $50,000","moderate","","50F/50M","Q8|Q26","Q39|Q31|Q36|Q42|Q37",368,1,"Q8|Q26",0,1,0,1,0,1,0,0,0,0,100,0,0,1,0,0,"female","white","25-34","$25,000 to under $50,000"
"55","R_9NYlg815dap2wQd","Default Response Set","Anonymous","","","","0",41658.89453125,41658.89453125,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,100,30,30,1,"united states","florida","a suburban near a large city","",1,NA,1,NA,NA,50,1,"less than $1000",1,"45-54","male","white","","some college, no degree","","$10,000 to under $25,000",NA,"","50F/50M","Q7|Q26","Q39|Q32|Q36|Q42|Q37",95,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,100,30,30,1,0,0,"male","white","45-54","$10,000 to under $25,000"
"59","R_9Lix3hwJN4gvzKJ","Default Response Set","Anonymous","","","","0",41658.89453125,41658.90234375,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,92,100,100,1,"united states","california","a large city","",1,NA,1,NA,NA,NA,1,"less than $1000",1,"35-44","female","black or african american","","associate degree","","$25,000 to under $50,000","liberal","","50F/50M","Q9|Q26","Q39|Q32|Q36|Q42|Q37",464,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,92,100,100,0,1,1,"female","black or african american","35-44","$25,000 to under $50,000"
"61","R_6QKJD6u2tqy12Bf","Default Response Set","Anonymous","","","","0",41658.89453125,41658.8984375,1,1,"",1,1,0,1,0,0,0,0,1,NA,NA,NA,NA,80,1,50,1,"australia",NA,"a small city or town","",1,1,NA,NA,NA,29,1,"$15,000 to $19,999",1,"45-54","female","white","","associate degree","","$75,000 to under $100,000","moderate","","50F/50M","Q8|Q26","Q39|Q31|Q36|Q42|Q37",330,1,"Q8|Q26",0,1,0,1,0,1,0,0,0,0,80,1,50,0,0,0,"female","white","45-54","$75,000 to under $100,000"
"62","R_8cOcUgrV5ARbBGJ","Default Response Set","Anonymous","","","","0",41658.89453125,41658.90234375,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,100,100,100,1,"united states","kansas","a large city","",1,1,NA,NA,NA,48,1,"less than $1000",1,"55-59","female","black or african american","","associate degree","","$10,000 to under $25,000","moderate","","50F/50M","Q9|Q26","Q39|Q31|Q36|Q42|Q37",423,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,100,100,100,1,1,1,"female","black or african american","55-59","$10,000 to under $25,000"
"68","R_3xDCAmCi2lCA1VP","Default Response Set","Anonymous","","","","0",41658.89453125,41658.8984375,1,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,86,4,32,1,"united states","maryland","a suburban near a large city","",1,1,NA,NA,NA,71,1,"less than $1000",1,"60-64","female","other","austrian/ romanian","some college, no degree","","less than $10,000","moderate","na","50F/50M","Q5|Q26","Q39|Q31|Q36|Q42|Q37",283,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,86,4,32,0,0,0,"female","other","60-64","less than $10,000"
"73","R_5ilBvz2TANlkR5b","Default Response Set","Anonymous","","","","0",41658.8984375,41658.8984375,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,5,14,22,1,"united states","california","a large city","",1,NA,NA,1,NA,33,1,"$15,000 to $19,999",1,"25-34","male","white","","some college, no degree","","$75,000 to under $100,000","liberal","","50F/50M","Q6|Q26","Q39|Q33|Q36|Q42|Q37",125,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,5,14,22,0,0,0,"male","white","25-34","$75,000 to under $100,000"
"74","R_bxwNvEWjqHfo513","Default Response Set","Anonymous","","","","0",41658.8984375,41658.90234375,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,100,100,65,1,"united states","arizona","a large city","",1,NA,NA,1,NA,82,1,"$5,000 to $9,999",1,"35-44","female","white","","bachelors degree","","$50,000 to under $75,000","liberal","","50F/50M","Q6|Q26","Q39|Q33|Q36|Q42|Q37",303,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,100,100,65,1,1,0,"female","white","35-44","$50,000 to under $75,000"
"77","R_509ldEtCkoawOrP","Default Response Set","Anonymous","","","","0",41658.8984375,41658.90234375,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,100,100,100,1,"united states","north carolina","a rural area","",1,NA,NA,NA,1,9,1,"less than $1000",1,"60-64","female","white","","high school graduate (includes equivalency)","","$10,000 to under $25,000","conservative","loved takeing this surve","50F/50M","Q9|Q26","Q39|Q38|Q36|Q42|Q37",262,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,100,100,100,1,1,1,"female","white","60-64","$10,000 to under $25,000"
"84","R_b7QHun69z25tbmZ","Default Response Set","Anonymous","","","","0",41658.8984375,41658.90234375,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,100,100,100,1,"united states","texas","a large city","",1,NA,NA,1,NA,1,1,"less than $1000",1,"60-64","male","white","","some college, no degree","","less than $10,000","conservative","","50F/50M","Q3|Q26","Q39|Q33|Q36|Q42|Q37",181,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,100,100,100,1,1,1,"male","white","60-64","less than $10,000"
"86","R_dbWRogRqWNzeNSJ","Default Response Set","Anonymous","","","","0",41658.8984375,41658.90234375,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,100,100,100,1,"united states","minnesota","a rural area","",1,NA,NA,NA,1,31,1,"less than $1000",1,"45-54","male","white","","associate degree","","$25,000 to under $50,000","moderate","","50F/50M","Q3|Q26","Q39|Q38|Q36|Q42|Q37",248,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,100,100,100,1,1,1,"male","white","45-54","$25,000 to under $50,000"
"88","R_4IakHbApgLe6xdH","Default Response Set","Anonymous","","","","0",41658.8984375,41658.90234375,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,95,89,93,1,"united states","california","a large city","",1,NA,NA,1,NA,6,1,"less than $1000",1,"45-54","female","white","","high school graduate (includes equivalency)","","$50,000 to under $75,000","very conservative","","50F/50M","Q6|Q26","Q39|Q33|Q36|Q42|Q37",337,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,95,89,93,0,0,0,"female","white","45-54","$50,000 to under $75,000"
"94","R_a9GGreF8VrMmKGh","Default Response Set","Anonymous","","","","0",41658.90234375,41658.90625,1,1,"",1,1,0,1,0,0,0,0,1,NA,NA,NA,NA,100,100,100,1,"bahamas, the",NA,"a large city","",1,1,NA,NA,NA,56,1,"$5,000 to $9,999",1,"45-54","male","white","","graduate or professional degree","","$50,000 to under $75,000","liberal","I think that is a big id","50F/50M","Q8|Q26","Q39|Q31|Q36|Q42|Q37",579,1,"Q8|Q26",0,1,0,1,0,1,0,0,0,0,100,100,100,1,1,1,"male","white","45-54","$50,000 to under $75,000"
"98","R_6szeFeKf3s8IP1X","Default Response Set","Anonymous","","","","0",41658.90234375,41658.90234375,1,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,100,77,77,1,"united states","connecticut","a suburban near a large city","",1,1,NA,NA,NA,32,1,"$5,000 to $9,999",1,"65-74","male","white","","bachelors degree","","$100,000 to under $150,000","conservative","it was fine","50F/50M","Q5|Q26","Q39|Q31|Q36|Q42|Q37",176,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,100,77,77,1,0,0,"male","white","65-74","$100,000 to under $150,000"
"99","R_1RCk35gURdywmNL","Default Response Set","Anonymous","","","","0",41658.90234375,41658.90234375,1,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,100,32,5,1,"united states","new jersey","a large city","",1,1,NA,NA,NA,49,1,"$1,000 to $4,000",1,"20-24","female","white","","bachelors degree","","$50,000 to under $75,000","liberal","","50F/50M","Q5|Q26","Q39|Q31|Q36|Q42|Q37",150,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,100,32,5,1,0,0,"female","white","20-24","$50,000 to under $75,000"
"101","R_cHLGHSirqEVBGtf","Default Response Set","Anonymous","","","","0",41658.90234375,41658.90625,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,73,75,80,1,"united states","florida","a large city","",1,1,NA,NA,NA,77,1,"$1,000 to $4,000",1,"35-44",NA,NA,"","graduate or professional degree","","$50,000 to under $75,000","liberal","its very easy","50F/50M","Q9|Q26","Q39|Q31|Q36|Q42|Q37",264,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,73,75,80,0,0,0,NA,NA,"35-44","$50,000 to under $75,000"
"105","R_4PjFE5Evb9G8EVT","Default Response Set","Anonymous","","","","0",41658.90234375,41658.90625,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,100,52,61,1,"united states","rhode island","a suburban near a large city","",1,NA,NA,NA,1,40,1,"less than $1000",1,"45-54","female","white","","high school graduate (includes equivalency)","","$50,000 to under $75,000","liberal","","50F/50M","Q6|Q26","Q39|Q38|Q36|Q42|Q37",141,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,100,52,61,1,0,0,"female","white","45-54","$50,000 to under $75,000"
"107","R_9WSfMFFoAr7EYi9","Default Response Set","Anonymous","","","","0",41658.90234375,41658.90625,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,100,100,100,1,"costa rica",NA,"a large city","",1,NA,NA,1,NA,61,1,"less than $1000",1,"45-54","male","hispanic or latino (of any race)","","some college, no degree","","$25,000 to under $50,000","moderate","","50F/50M","Q7|Q26","Q39|Q33|Q36|Q42|Q37",338,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,100,100,100,1,1,1,"male","hispanic or latino (of any race)","45-54","$25,000 to under $50,000"
"111","R_cPlHN3Ts2C0YIeN","Default Response Set","Anonymous","","","","0",41658.90625,41658.90625,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,100,100,100,1,"united states","massachusetts","a large city","",1,NA,NA,NA,1,50,1,"$1,000 to $4,000",1,"55-59","male","white","","some college, no degree","","$25,000 to under $50,000","liberal","","50F/50M","Q7|Q26","Q39|Q38|Q36|Q42|Q37",246,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,100,100,100,1,1,1,"male","white","55-59","$25,000 to under $50,000"
"113","R_1ZaPALyc2kuEBkp","Default Response Set","Anonymous","","","","0",41658.90625,41658.90625,1,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,70,99,50,1,"united states","massachusetts","a rural area","",1,1,NA,NA,NA,9,1,"$1,000 to $4,000",1,"35-44","female","white","","graduate or professional degree","","$50,000 to under $75,000","moderate","I live where I work, at","50F/50M","Q5|Q26","Q39|Q31|Q36|Q42|Q37",156,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,70,99,50,0,0,0,"female","white","35-44","$50,000 to under $75,000"
"119","R_8vQh2Kodtnxtujb","Default Response Set","Anonymous","","","","0",41658.90625,41658.90625,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,100,89,78,1,"united states","minnesota","a suburban near a large city","",1,NA,NA,1,NA,79,1,"$1,000 to $4,000",1,"60-64","female",NA,"","graduate or professional degree","","$75,000 to under $100,000","moderate","","50F/50M","Q7|Q26","Q39|Q33|Q36|Q42|Q37",127,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,100,89,78,1,0,0,"female",NA,"60-64","$75,000 to under $100,000"
"120","R_808AVVO1CjCWPFX","Default Response Set","Anonymous","","","","0",41658.90625,41658.90625,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,99,100,98,1,"united states","new york","a large city","",1,NA,NA,NA,1,80,1,"$10,000 to $14,999",1,"65-74","male","black or african american","","graduate or professional degree","","$75,000 to under $100,000","moderate","","50F/50M","Q7|Q26","Q39|Q38|Q36|Q42|Q37",106,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,99,100,98,0,1,0,"male","black or african american","65-74","$75,000 to under $100,000"
"122","R_b1qcBwFszowIOkB","Default Response Set","Anonymous","","","","0",41658.90625,41658.9140625,1,1,"",1,1,0,1,0,0,0,0,1,NA,NA,NA,NA,99,0,0,1,"united states","north carolina","a suburban near a large city","",1,NA,NA,1,NA,72,1,"$1,000 to $4,000",1,"45-54","female","white","","bachelors degree","","$75,000 to under $100,000","conservative","","50F/50M","Q8|Q26","Q39|Q33|Q36|Q42|Q37",472,1,"Q8|Q26",0,1,0,1,0,1,0,0,0,0,99,0,0,0,0,0,"female","white","45-54","$75,000 to under $100,000"
"123","R_dcEexGkp6Ro80TP","Default Response Set","Anonymous","","","","0",41658.90625,41658.91796875,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,100,83,50,1,"nigeria",NA,"a large city","",1,NA,NA,NA,1,39,1,"$1,000 to $4,000",1,"25-34","female","black or african american","","bachelors degree","","less than $10,000","moderate","","50F/50M","Q3|Q26","Q39|Q38|Q36|Q42|Q37",802,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,100,83,50,1,0,0,"female","black or african american","25-34","less than $10,000"
"130","R_5nCbdsOg101qp9j","Default Response Set","Anonymous","","","","0",41658.91015625,41658.91015625,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,100,10,9,1,"united states","arizona","a large city","",1,1,NA,NA,NA,20,1,"less than $1000",1,"35-44","female","white","","associate degree","","$10,000 to under $25,000","conservative","It went well.","50F/50M","Q7|Q26","Q39|Q31|Q36|Q42|Q37",99,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,100,10,9,1,0,0,"female","white","35-44","$10,000 to under $25,000"
"131","R_ahiyiMAsyxbjt9b","Default Response Set","Anonymous","","","","0",41658.91015625,41658.9140625,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,100,100,100,1,"united states","new jersey","a suburban near a large city","",1,NA,NA,1,NA,60,1,"$1,000 to $4,000",1,"25-34","female","asian or pacific islander","","graduate or professional degree","","$25,000 to under $50,000","moderate","","50F/50M","Q3|Q26","Q39|Q33|Q36|Q42|Q37",238,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,100,100,100,1,1,1,"female","asian or pacific islander","25-34","$25,000 to under $50,000"
"135","R_aVqe99ZUfcQU35z","Default Response Set","Anonymous","","","","0",41658.91015625,41658.9140625,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,100,100,100,1,"argentina",NA,"a small city or town","",1,NA,1,NA,NA,30,1,"less than $1000",1,"45-54","female","white","","graduate or professional degree","","$50,000 to under $75,000","liberal","good and short","50F/50M","Q6|Q26","Q39|Q32|Q36|Q42|Q37",194,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,100,100,100,1,1,1,"female","white","45-54","$50,000 to under $75,000"
"136","R_37qo8ZhbFtXFgKV","Default Response Set","Anonymous","","","","0",41658.91015625,41658.9140625,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,100,100,100,1,"united states","oregon","a large city","",1,NA,NA,NA,1,85,1,"$10,000 to $14,999",1,"35-44","male","white","","high school graduate (includes equivalency)","","i' rather not say","very liberal","","50F/50M","Q3|Q26","Q39|Q38|Q36|Q42|Q37",244,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,100,100,100,1,1,1,"male","white","35-44","i' rather not say"
"139","R_3XllIhRWI0t4ZHn","Default Response Set","Anonymous","","","","0",41658.9140625,41658.9140625,0,1,"",1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","50F/50M","Q5|Q26","",31,0,"Q5|Q26",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","R_037fGp94KV1azPv","Default Response Set","Anonymous","","","","0",41658.9140625,41658.91796875,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,100,48,9,1,"united states","new jersey","other","a small urban city",1,NA,NA,NA,1,49,1,"$5,000 to $9,999",1,"55-59","male","white","","graduate or professional degree","","$150,000 or more","very liberal","","50F/50M","Q9|Q26","Q39|Q38|Q36|Q42|Q37",219,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,100,48,9,1,0,0,"male","white","55-59","$150,000 or more"
